code,name,lat,long,province,address,hours,phone,manager_contact,updated_at,profitability_pct
001,Ixelles - Chée d'Ixelles,50.836283,4.363063,Brussels-Capital,,,,,,
004,Namur,50.463334,4.865758,Namur,,,,,,
006,Wavre,50.715151,4.610607,Walloon Brabant,,,,,,
009,Verviers,50.592613,5.859758,Liège,,,,,,
012,Brugge,51.2074,3.2232,West Flanders,,,,,,
016,Knokke,51.346058,3.288413,West Flanders,,,,,,
021,Halle,50.73525,4.235931,Flemish Brabant,,,,,,
030,Hasselt,50.930772,5.337844,Limburg,,,,,,
038,Etterbeek - Rue des Tongres,50.839586,4.399759,Brussels-Capital,,,,,,
045,Jette - Place Reine Astrid,50.872607,4.325251,Brussels-Capital,,,,,,
046,Antwerpen - Abdijstraat,51.18996,4.379091,Antwerp,,,,,,
057,Leuven,50.879898,4.703174,Flemish Brabant,,,,,,
058,Etterbeek - La Chasse,50.829874,4.390708,Brussels-Capital,,,,,,
064,Herstal - Carrefour,50.685863,5.647207,Liège,,,,,,
068,Bruxelles - City 2,50.853945,4.357454,Brussels-Capital,,,,,,
069,Anderlecht - Westland,50.838852,4.287594,Brussels-Capital,,,,,,
070,Zottegem,50.870594,3.810386,East Flanders,,,,,,
072,Mechelen,51.027322,4.480758,Antwerp,,,,,,
084,Aalst,50.937436,4.039351,East Flanders,,,,,,
096,Woluwé-St-Lambert - W Shopping,50.846932,4.438474,Brussels-Capital,,,,,,
098,Luxembourg - Ville,49.613105,6.128192,Grand Duchy of Luxembourg,,,,,,
104,Huy,50.520709,5.236207,Liège,,,,,,
105,Gent - Grootkanonplein,51.057297,3.724314,East Flanders,,,,,,
106,Brasschaat,51.288799,4.489208,Antwerp,,,,,,
107,Châtelineau - Cora,50.410086,4.493758,Hainaut,,,,,,
127,Malmédy,50.425357,6.030695,Liège,,,,,,
128,Oostende,51.22878,2.920215,West Flanders,,,,,,
130,Genk - Shopping 1,50.964976,5.503404,Limburg,,,,,,
134,Woluwe-St-Pierre - Stockel Square,50.841294,4.464001,Brussels-Capital,,,,,,
139,Visé,50.73524,5.695179,Liège,,,,,,
144,Binche,50.411156,4.166967,Hainaut,,,,,,
166,Jodoigne,50.724754,4.871491,Walloon Brabant,,,,,,
169,Arlon,49.683153,5.81433,Belgian Luxembourg,,,,,,
170,Wijnegem - Shopping Center,51.22288,4.502659,Antwerp,,,,,,
174,Rocourt - Cora,50.6686,5.54531,Liège,,,,,,
175,Uccle - Chée d'Alsemberg,50.803134,4.33682,Brussels-Capital,,,,,,
176,La Louvière - Cora,50.485928,4.203893,Hainaut,,,,,,
178,Liège - Belle Ile,50.615651,5.595781,Liège,,,,,,
179,Marche-en-Famenne,50.226406,5.344954,Belgian Luxembourg,,,,,,
181,Nivelles - Shopping,50.589725,4.309916,Walloon Brabant,,,,,,
182,Tournai - Les Bastions,50.60268,3.404601,Hainaut,,,,,,
183,Messancy - Cora,49.614236,5.812415,Belgian Luxembourg,,,,,,
185,Hornu - Cora,50.438056,3.838864,Hainaut,,,,,,
186,Luxembourg - Auchan Kirchberg,49.632781,6.169944,Grand Duchy of Luxembourg,,,,,,
187,Kuurne - Ring Shopping,50.846019,3.261421,West Flanders,,,,,,
188,Charleroi - Ville 2,50.417446,4.457329,Hainaut,,,,,,
191,Gent - Hoornstraat,51.052142,3.721501,East Flanders,,,,,,
192,Liège cathédrale (Vinave),50.641191,5.57112,Liège,,,,,,
193,Esch sur Alzette,49.493795,5.981066,Grand Duchy of Luxembourg,,,,,,
195,Maasmechelen - M2,50.986981,5.702852,Limburg,,,,,,
196,Luxembourg - Gare,49.60298,6.132833,Grand Duchy of Luxembourg,,,,,,
198,Mons - Les Grands Prés,50.455982,3.933068,Hainaut,,,,,,
199,Bruxelles - Rue Neuve,50.850727,4.354121,Brussels-Capital,,,,,,
200,Bruxelles - Gare du Midi,50.836572,4.336749,Brussels-Capital,,,,,,
